date,Day,Month,Year,store,sales,promo,holiday
3/5/2022,Saturday,Mar,2022,1,192.68,Not Active,Working Day
3/6/2022,Sunday,Mar,2022,1,229.31,Active,Working Day
3/7/2022,Monday,Mar,2022,1,207.86,Not Active,Working Day
3/8/2022,Tuesday,Mar,2022,1,228.92,Not Active,Working Day
3/9/2022,Wednesday,Mar,2022,1,259.62,Active,Working Day
3/10/2022,Thursday,Mar,2022,1,213.82,Not Active,Working Day
3/11/2022,Friday,Mar,2022,1,201.55,Not Active,Working Day
3/12/2022,Saturday,Mar,2022,1,196.66,Not Active,Working Day
3/13/2022,Sunday,Mar,2022,1,222.7,Active,Working Day
3/14/2022,Monday,Mar,2022,1,246.39,Active,Working Day
3/15/2022,Tuesday,Mar,2022,1,211.16,Not Active,Working Day
3/16/2022,Wednesday,Mar,2022,1,232.28,Not Active,Working Day
3/17/2022,Thursday,Mar,2022,1,247.83,Active,Working Day
3/18/2022,Friday,Mar,2022,1,198.59,Not Active,Working Day
3/19/2022,Saturday,Mar,2022,1,189.78,Not Active,Working Day
3/20/2022,Sunday,Mar,2022,1,213.29,Active,Working Day
3/21/2022,Monday,Mar,2022,1,207.82,Not Active,Working Day
3/22/2022,Tuesday,Mar,2022,1,226.39,Not Active,Working Day
3/23/2022,Wednesday,Mar,2022,1,235.91,Not Active,Working Day
3/24/2022,Thursday,Mar,2022,1,245.15,Active,Working Day
3/25/2022,Friday,Mar,2022,1,226.4,Active,Working Day
3/26/2022,Saturday,Mar,2022,1,257.16,Active,Holiday
3/27/2022,Sunday,Mar,2022,1,198.16,Not Active,Working Day
3/28/2022,Monday,Mar,2022,1,280.91,Active,Holiday
3/29/2022,Tuesday,Mar,2022,1,252.3,Active,Working Day
3/30/2022,Wednesday,Mar,2022,1,231.43,Not Active,Working Day
3/31/2022,Thursday,Mar,2022,1,248.58,Active,Working Day
4/1/2022,Friday,Apr,2022,1,205.63,Not Active,Working Day
4/2/2022,Saturday,Apr,2022,1,186.51,Not Active,Working Day
4/3/2022,Sunday,Apr,2022,1,192.29,Not Active,Working Day
4/4/2022,Monday,Apr,2022,1,207.66,Not Active,Working Day
4/5/2022,Tuesday,Apr,2022,1,217.99,Not Active,Working Day
4/6/2022,Wednesday,Apr,2022,1,230.7,Not Active,Working Day
4/7/2022,Thursday,Apr,2022,1,219.75,Not Active,Working Day
4/8/2022,Friday,Apr,2022,1,201.17,Not Active,Working Day
4/9/2022,Saturday,Apr,2022,1,189.2,Not Active,Working Day
4/10/2022,Sunday,Apr,2022,1,187.2,Not Active,Working Day
4/11/2022,Monday,Apr,2022,1,207.86,Not Active,Working Day
4/12/2022,Tuesday,Apr,2022,1,223.94,Not Active,Working Day
4/13/2022,Wednesday,Apr,2022,1,225.55,Not Active,Working Day
4/14/2022,Thursday,Apr,2022,1,257.99,Not Active,Holiday
4/15/2022,Friday,Apr,2022,1,233.51,Active,Working Day
4/16/2022,Saturday,Apr,2022,1,200.15,Not Active,Working Day
4/17/2022,Sunday,Apr,2022,1,195.5,Not Active,Working Day
4/18/2022,Monday,Apr,2022,1,211.6,Not Active,Working Day
4/19/2022,Tuesday,Apr,2022,1,255.63,Active,Working Day
4/20/2022,Wednesday,Apr,2022,1,220.32,Not Active,Working Day
4/21/2022,Thursday,Apr,2022,1,249.01,Active,Working Day
4/22/2022,Friday,Apr,2022,1,242.14,Not Active,Holiday
4/23/2022,Saturday,Apr,2022,1,233.38,Active,Working Day
4/24/2022,Sunday,Apr,2022,1,194.02,Not Active,Working Day
4/25/2022,Monday,Apr,2022,1,242.17,Active,Working Day
4/26/2022,Tuesday,Apr,2022,1,226.18,Not Active,Working Day
4/27/2022,Wednesday,Apr,2022,1,224.42,Not Active,Working Day
4/28/2022,Thursday,Apr,2022,1,225.21,Not Active,Working Day
4/29/2022,Friday,Apr,2022,1,205.95,Not Active,Working Day
4/30/2022,Saturday,Apr,2022,1,195.37,Not Active,Working Day
5/1/2022,Sunday,May,2022,1,220.78,Active,Working Day
5/2/2022,Monday,May,2022,1,248.03,Active,Working Day
5/3/2022,Tuesday,May,2022,1,219.69,Not Active,Working Day
5/4/2022,Wednesday,May,2022,1,233.55,Not Active,Working Day
5/5/2022,Thursday,May,2022,1,230.8,Not Active,Working Day
5/6/2022,Friday,May,2022,1,197.59,Not Active,Working Day
5/7/2022,Saturday,May,2022,1,188.94,Not Active,Working Day
5/8/2022,Sunday,May,2022,1,196.18,Not Active,Working Day
5/9/2022,Monday,May,2022,1,208.85,Not Active,Working Day
5/10/2022,Tuesday,May,2022,1,219.3,Not Active,Working Day
5/11/2022,Wednesday,May,2022,1,271.31,Not Active,Holiday
5/12/2022,Thursday,May,2022,1,214.88,Not Active,Working Day
5/13/2022,Friday,May,2022,1,205.26,Not Active,Working Day
5/14/2022,Saturday,May,2022,1,187.52,Not Active,Working Day
5/15/2022,Sunday,May,2022,1,233.78,Active,Working Day
5/16/2022,Monday,May,2022,1,207.8,Not Active,Working Day
5/17/2022,Tuesday,May,2022,1,225.79,Not Active,Working Day
5/18/2022,Wednesday,May,2022,1,235.38,Not Active,Working Day
5/19/2022,Thursday,May,2022,1,214.39,Not Active,Working Day
5/20/2022,Friday,May,2022,1,234.38,Active,Working Day
5/21/2022,Saturday,May,2022,1,199,Not Active,Working Day
5/22/2022,Sunday,May,2022,1,188.34,Not Active,Working Day
5/23/2022,Monday,May,2022,1,212.99,Not Active,Working Day
5/24/2022,Tuesday,May,2022,1,259.05,Active,Working Day
5/25/2022,Wednesday,May,2022,1,265.57,Active,Working Day
5/26/2022,Thursday,May,2022,1,254.71,Not Active,Holiday
5/27/2022,Friday,May,2022,1,196.99,Not Active,Working Day
5/28/2022,Saturday,May,2022,1,195.43,Not Active,Working Day
5/29/2022,Sunday,May,2022,1,228.22,Active,Working Day
5/30/2022,Monday,May,2022,1,213.67,Not Active,Working Day
5/31/2022,Tuesday,May,2022,1,259.84,Active,Working Day
6/1/2022,Wednesday,Jun,2022,1,228.62,Not Active,Working Day
6/2/2022,Thursday,Jun,2022,1,222.41,Not Active,Working Day
6/3/2022,Friday,Jun,2022,1,205.4,Not Active,Working Day
6/4/2022,Saturday,Jun,2022,1,189.6,Not Active,Working Day
6/5/2022,Sunday,Jun,2022,1,206.41,Not Active,Working Day
6/6/2022,Monday,Jun,2022,1,215.14,Not Active,Working Day
6/7/2022,Tuesday,Jun,2022,1,262.5,Not Active,Holiday
6/8/2022,Wednesday,Jun,2022,1,235.65,Not Active,Working Day
6/9/2022,Thursday,Jun,2022,1,216.72,Not Active,Working Day
6/10/2022,Friday,Jun,2022,1,248.22,Not Active,Holiday
6/11/2022,Saturday,Jun,2022,1,229.31,Active,Working Day
6/12/2022,Sunday,Jun,2022,1,223.33,Active,Working Day
6/13/2022,Monday,Jun,2022,1,247.93,Active,Working Day
6/14/2022,Tuesday,Jun,2022,1,260.87,Active,Working Day
6/15/2022,Wednesday,Jun,2022,1,236.83,Not Active,Working Day
6/16/2022,Thursday,Jun,2022,1,231.43,Not Active,Working Day
6/17/2022,Friday,Jun,2022,1,203.41,Not Active,Working Day
6/18/2022,Saturday,Jun,2022,1,230.1,Not Active,Holiday
6/19/2022,Sunday,Jun,2022,1,193.33,Not Active,Working Day
6/20/2022,Monday,Jun,2022,1,239.39,Active,Working Day
6/21/2022,Tuesday,Jun,2022,1,228.77,Not Active,Working Day
6/22/2022,Wednesday,Jun,2022,1,234.77,Not Active,Working Day
6/23/2022,Thursday,Jun,2022,1,223.68,Not Active,Working Day
6/24/2022,Friday,Jun,2022,1,249.13,Not Active,Holiday
6/25/2022,Saturday,Jun,2022,1,194.28,Not Active,Working Day
6/26/2022,Sunday,Jun,2022,1,205.4,Not Active,Working Day
6/27/2022,Monday,Jun,2022,1,242.49,Active,Working Day
6/28/2022,Tuesday,Jun,2022,1,243.1,Not Active,Working Day
6/29/2022,Wednesday,Jun,2022,1,236.54,Not Active,Working Day
6/30/2022,Thursday,Jun,2022,1,248.36,Active,Working Day
7/1/2022,Friday,Jul,2022,1,229.99,Active,Working Day
7/2/2022,Saturday,Jul,2022,1,226.98,Active,Working Day
7/3/2022,Sunday,Jul,2022,1,227.36,Active,Working Day
7/4/2022,Monday,Jul,2022,1,257.74,Not Active,Holiday
7/5/2022,Tuesday,Jul,2022,1,232.22,Not Active,Working Day
7/6/2022,Wednesday,Jul,2022,1,233.4,Not Active,Working Day
7/7/2022,Thursday,Jul,2022,1,218.76,Not Active,Working Day
7/8/2022,Friday,Jul,2022,1,198.12,Not Active,Working Day
7/9/2022,Saturday,Jul,2022,1,192.69,Not Active,Working Day
7/10/2022,Sunday,Jul,2022,1,203.11,Not Active,Working Day
7/11/2022,Monday,Jul,2022,1,215.59,Not Active,Working Day
7/12/2022,Tuesday,Jul,2022,1,223.98,Not Active,Working Day
7/13/2022,Wednesday,Jul,2022,1,234.98,Not Active,Working Day
7/14/2022,Thursday,Jul,2022,1,265.27,Not Active,Holiday
7/15/2022,Friday,Jul,2022,1,241.62,Not Active,Holiday
7/16/2022,Saturday,Jul,2022,1,226.04,Active,Working Day
7/17/2022,Sunday,Jul,2022,1,199.47,Not Active,Working Day
7/18/2022,Monday,Jul,2022,1,209.15,Not Active,Working Day
7/19/2022,Tuesday,Jul,2022,1,232.34,Not Active,Working Day
7/20/2022,Wednesday,Jul,2022,1,267.27,Active,Working Day
7/21/2022,Thursday,Jul,2022,1,229.11,Not Active,Working Day
7/22/2022,Friday,Jul,2022,1,211.66,Not Active,Working Day
7/23/2022,Saturday,Jul,2022,1,188.73,Not Active,Working Day
7/24/2022,Sunday,Jul,2022,1,194.84,Not Active,Working Day
7/25/2022,Monday,Jul,2022,1,247.79,Active,Working Day
7/26/2022,Tuesday,Jul,2022,1,233.47,Not Active,Working Day
7/27/2022,Wednesday,Jul,2022,1,237.39,Not Active,Working Day
7/28/2022,Thursday,Jul,2022,1,273.31,Active,Working Day
7/29/2022,Friday,Jul,2022,1,239.59,Active,Working Day
7/30/2022,Saturday,Jul,2022,1,201.65,Not Active,Working Day
7/31/2022,Sunday,Jul,2022,1,234.65,Active,Working Day
8/1/2022,Monday,Aug,2022,1,218.82,Not Active,Working Day
8/2/2022,Tuesday,Aug,2022,1,229.68,Not Active,Working Day
8/3/2022,Wednesday,Aug,2022,1,238.96,Not Active,Working Day
8/4/2022,Thursday,Aug,2022,1,220.53,Not Active,Working Day
8/5/2022,Friday,Aug,2022,1,205.91,Not Active,Working Day
8/6/2022,Saturday,Aug,2022,1,223.89,Active,Working Day
8/7/2022,Sunday,Aug,2022,1,230.64,Active,Working Day
8/8/2022,Monday,Aug,2022,1,267.49,Not Active,Holiday
8/9/2022,Tuesday,Aug,2022,1,252.27,Active,Working Day
8/10/2022,Wednesday,Aug,2022,1,238.95,Not Active,Working Day
8/11/2022,Thursday,Aug,2022,1,216.68,Not Active,Working Day
8/12/2022,Friday,Aug,2022,1,205.08,Not Active,Working Day
8/13/2022,Saturday,Aug,2022,1,202.11,Not Active,Working Day
8/14/2022,Sunday,Aug,2022,1,230.9,Active,Working Day
8/15/2022,Monday,Aug,2022,1,240.88,Active,Working Day
8/16/2022,Tuesday,Aug,2022,1,228.38,Not Active,Working Day
8/17/2022,Wednesday,Aug,2022,1,239.26,Not Active,Working Day
8/18/2022,Thursday,Aug,2022,1,221.44,Not Active,Working Day
8/19/2022,Friday,Aug,2022,1,208.87,Not Active,Working Day
8/20/2022,Saturday,Aug,2022,1,227.25,Active,Working Day
8/21/2022,Sunday,Aug,2022,1,197.67,Not Active,Working Day
8/22/2022,Monday,Aug,2022,1,227.34,Not Active,Working Day
8/23/2022,Tuesday,Aug,2022,1,235.47,Not Active,Working Day
8/24/2022,Wednesday,Aug,2022,1,226.09,Not Active,Working Day
8/25/2022,Thursday,Aug,2022,1,266.38,Not Active,Holiday
8/26/2022,Friday,Aug,2022,1,204.83,Not Active,Working Day
8/27/2022,Saturday,Aug,2022,1,201.63,Not Active,Working Day
8/28/2022,Sunday,Aug,2022,1,197.32,Not Active,Working Day
8/29/2022,Monday,Aug,2022,1,246.39,Active,Working Day
8/30/2022,Tuesday,Aug,2022,1,235.18,Not Active,Working Day
8/31/2022,Wednesday,Aug,2022,1,280.89,Not Active,Holiday
9/1/2022,Thursday,Sep,2022,1,249.79,Active,Working Day
9/2/2022,Friday,Sep,2022,1,206.82,Not Active,Working Day
9/3/2022,Saturday,Sep,2022,1,225.34,Active,Working Day
9/4/2022,Sunday,Sep,2022,1,198.36,Not Active,Working Day
9/5/2022,Monday,Sep,2022,1,226.14,Not Active,Working Day
9/6/2022,Tuesday,Sep,2022,1,235.03,Not Active,Working Day
9/7/2022,Wednesday,Sep,2022,1,230.61,Not Active,Working Day
9/8/2022,Thursday,Sep,2022,1,230.73,Not Active,Working Day
9/9/2022,Friday,Sep,2022,1,219.45,Not Active,Working Day
9/10/2022,Saturday,Sep,2022,1,203.23,Not Active,Working Day
9/11/2022,Sunday,Sep,2022,1,194.38,Not Active,Working Day
9/12/2022,Monday,Sep,2022,1,215.25,Not Active,Working Day
9/13/2022,Tuesday,Sep,2022,1,269.69,Active,Working Day
9/14/2022,Wednesday,Sep,2022,1,263.73,Active,Working Day
9/15/2022,Thursday,Sep,2022,1,258.71,Active,Working Day
9/16/2022,Friday,Sep,2022,1,213.06,Not Active,Working Day
9/17/2022,Saturday,Sep,2022,1,193.78,Not Active,Working Day
9/18/2022,Sunday,Sep,2022,1,202.03,Not Active,Working Day
9/19/2022,Monday,Sep,2022,1,201.81,Not Active,Working Day
9/20/2022,Tuesday,Sep,2022,1,228.58,Not Active,Working Day
9/21/2022,Wednesday,Sep,2022,1,236.35,Not Active,Working Day
9/22/2022,Thursday,Sep,2022,1,220.61,Not Active,Working Day
9/23/2022,Friday,Sep,2022,1,217.7,Not Active,Working Day
9/24/2022,Saturday,Sep,2022,1,191.62,Not Active,Working Day
9/25/2022,Sunday,Sep,2022,1,200.48,Not Active,Working Day
9/26/2022,Monday,Sep,2022,1,219.02,Not Active,Working Day
9/27/2022,Tuesday,Sep,2022,1,271.26,Active,Working Day
9/28/2022,Wednesday,Sep,2022,1,230.79,Not Active,Working Day
9/29/2022,Thursday,Sep,2022,1,233.01,Not Active,Working Day
9/30/2022,Friday,Sep,2022,1,209.94,Not Active,Working Day
10/1/2022,Saturday,Oct,2022,1,194.21,Not Active,Working Day
10/2/2022,Sunday,Oct,2022,1,205.34,Not Active,Working Day
10/3/2022,Monday,Oct,2022,1,219.71,Not Active,Working Day
10/4/2022,Tuesday,Oct,2022,1,231.4,Not Active,Working Day
10/5/2022,Wednesday,Oct,2022,1,238.66,Not Active,Working Day
10/6/2022,Thursday,Oct,2022,1,225.62,Not Active,Working Day
10/7/2022,Friday,Oct,2022,1,210.81,Not Active,Working Day
10/8/2022,Saturday,Oct,2022,1,232.78,Active,Working Day
10/9/2022,Sunday,Oct,2022,1,211.31,Not Active,Working Day
10/10/2022,Monday,Oct,2022,1,212.88,Not Active,Working Day
10/11/2022,Tuesday,Oct,2022,1,275.42,Active,Working Day
10/12/2022,Wednesday,Oct,2022,1,268.91,Not Active,Holiday
10/13/2022,Thursday,Oct,2022,1,267.14,Not Active,Holiday
10/14/2022,Friday,Oct,2022,1,213.53,Not Active,Working Day
10/15/2022,Saturday,Oct,2022,1,201.22,Not Active,Working Day
10/16/2022,Sunday,Oct,2022,1,230.62,Active,Working Day
10/17/2022,Monday,Oct,2022,1,218.38,Not Active,Working Day
10/18/2022,Tuesday,Oct,2022,1,262.64,Active,Working Day
10/19/2022,Wednesday,Oct,2022,1,236.07,Not Active,Working Day
10/20/2022,Thursday,Oct,2022,1,232.49,Not Active,Working Day
10/21/2022,Friday,Oct,2022,1,212.72,Not Active,Working Day
10/22/2022,Saturday,Oct,2022,1,196.7,Not Active,Working Day
10/23/2022,Sunday,Oct,2022,1,208.58,Not Active,Working Day
10/24/2022,Monday,Oct,2022,1,251.3,Active,Working Day
10/25/2022,Tuesday,Oct,2022,1,239.52,Not Active,Working Day
10/26/2022,Wednesday,Oct,2022,1,272.51,Active,Working Day
10/27/2022,Thursday,Oct,2022,1,224.45,Not Active,Working Day
10/28/2022,Friday,Oct,2022,1,238.49,Active,Working Day
10/29/2022,Saturday,Oct,2022,1,204.26,Not Active,Working Day
10/30/2022,Sunday,Oct,2022,1,207.48,Not Active,Working Day
10/31/2022,Monday,Oct,2022,1,250.01,Active,Working Day
11/1/2022,Tuesday,Nov,2022,1,236.39,Not Active,Working Day
11/2/2022,Wednesday,Nov,2022,1,286.1,Not Active,Holiday
11/3/2022,Thursday,Nov,2022,1,225.99,Not Active,Working Day
11/4/2022,Friday,Nov,2022,1,214.37,Not Active,Working Day
11/5/2022,Saturday,Nov,2022,1,229.86,Active,Working Day
11/6/2022,Sunday,Nov,2022,1,203.69,Not Active,Working Day
11/7/2022,Monday,Nov,2022,1,225.96,Not Active,Working Day
11/8/2022,Tuesday,Nov,2022,1,240.28,Not Active,Working Day
11/9/2022,Wednesday,Nov,2022,1,244.13,Not Active,Working Day
11/10/2022,Thursday,Nov,2022,1,235.82,Not Active,Working Day
11/11/2022,Friday,Nov,2022,1,212.09,Not Active,Working Day
11/12/2022,Saturday,Nov,2022,1,204.63,Not Active,Working Day
11/13/2022,Sunday,Nov,2022,1,203.58,Not Active,Working Day
11/14/2022,Monday,Nov,2022,1,222.44,Not Active,Working Day
11/15/2022,Tuesday,Nov,2022,1,235.85,Not Active,Working Day
11/16/2022,Wednesday,Nov,2022,1,240.9,Not Active,Working Day
11/17/2022,Thursday,Nov,2022,1,232.62,Not Active,Working Day
11/18/2022,Friday,Nov,2022,1,208.25,Not Active,Working Day
11/19/2022,Saturday,Nov,2022,1,212.03,Not Active,Working Day
11/20/2022,Sunday,Nov,2022,1,200.45,Not Active,Working Day
11/21/2022,Monday,Nov,2022,1,215.1,Not Active,Working Day
11/22/2022,Tuesday,Nov,2022,1,242.64,Not Active,Working Day
11/23/2022,Wednesday,Nov,2022,1,284.72,Not Active,Holiday
11/24/2022,Thursday,Nov,2022,1,233.12,Not Active,Working Day
11/25/2022,Friday,Nov,2022,1,215.83,Not Active,Working Day
11/26/2022,Saturday,Nov,2022,1,201.86,Not Active,Working Day
11/27/2022,Sunday,Nov,2022,1,201.34,Not Active,Working Day
11/28/2022,Monday,Nov,2022,1,251.9,Active,Working Day
11/29/2022,Tuesday,Nov,2022,1,273.82,Not Active,Holiday
11/30/2022,Wednesday,Nov,2022,1,245.99,Not Active,Working Day
12/1/2022,Thursday,Dec,2022,1,229.61,Not Active,Working Day
12/2/2022,Friday,Dec,2022,1,208.91,Not Active,Working Day
12/3/2022,Saturday,Dec,2022,1,200.66,Not Active,Working Day
12/4/2022,Sunday,Dec,2022,1,238.25,Active,Working Day
12/5/2022,Monday,Dec,2022,1,219.05,Not Active,Working Day
12/6/2022,Tuesday,Dec,2022,1,233.44,Not Active,Working Day
12/7/2022,Wednesday,Dec,2022,1,242.68,Not Active,Working Day
12/8/2022,Thursday,Dec,2022,1,231.92,Not Active,Working Day
12/9/2022,Friday,Dec,2022,1,250.85,Not Active,Holiday
12/10/2022,Saturday,Dec,2022,1,200.26,Not Active,Working Day
12/11/2022,Sunday,Dec,2022,1,207.69,Not Active,Working Day
12/12/2022,Monday,Dec,2022,1,214.98,Not Active,Working Day
12/13/2022,Tuesday,Dec,2022,1,230.87,Not Active,Working Day
12/14/2022,Wednesday,Dec,2022,1,238.22,Not Active,Working Day
12/15/2022,Thursday,Dec,2022,1,229.98,Not Active,Working Day
12/16/2022,Friday,Dec,2022,1,215.29,Not Active,Working Day
12/17/2022,Saturday,Dec,2022,1,250.35,Not Active,Holiday
12/18/2022,Sunday,Dec,2022,1,211.17,Not Active,Working Day
12/19/2022,Monday,Dec,2022,1,261.77,Not Active,Holiday
12/20/2022,Tuesday,Dec,2022,1,238.16,Not Active,Working Day
12/21/2022,Wednesday,Dec,2022,1,267.15,Active,Working Day
12/22/2022,Thursday,Dec,2022,1,231.3,Not Active,Working Day
12/23/2022,Friday,Dec,2022,1,212.65,Not Active,Working Day
12/24/2022,Saturday,Dec,2022,1,244.93,Not Active,Holiday
12/25/2022,Sunday,Dec,2022,1,203.09,Not Active,Working Day
12/26/2022,Monday,Dec,2022,1,225.51,Not Active,Working Day
12/27/2022,Tuesday,Dec,2022,1,246.27,Not Active,Working Day
12/28/2022,Wednesday,Dec,2022,1,271.97,Active,Working Day
12/29/2022,Thursday,Dec,2022,1,233.75,Not Active,Working Day
12/30/2022,Friday,Dec,2022,1,257.89,Not Active,Holiday
12/31/2022,Saturday,Dec,2022,1,201.66,Not Active,Working Day
1/1/2023,Sunday,Jan,2023,1,238.7,Active,Working Day
1/2/2023,Monday,Jan,2023,1,223.33,Not Active,Working Day
1/3/2023,Tuesday,Jan,2023,1,269.44,Active,Working Day
1/4/2023,Wednesday,Jan,2023,1,239,Not Active,Working Day
1/5/2023,Thursday,Jan,2023,1,262.22,Active,Working Day
1/6/2023,Friday,Jan,2023,1,217.28,Not Active,Working Day
1/7/2023,Saturday,Jan,2023,1,241.27,Active,Working Day
1/8/2023,Sunday,Jan,2023,1,212.73,Not Active,Working Day
1/9/2023,Monday,Jan,2023,1,264.38,Active,Working Day
1/10/2023,Tuesday,Jan,2023,1,235.47,Not Active,Working Day
1/11/2023,Wednesday,Jan,2023,1,247.58,Not Active,Working Day
1/12/2023,Thursday,Jan,2023,1,233.36,Not Active,Working Day
1/13/2023,Friday,Jan,2023,1,226.09,Not Active,Working Day
1/14/2023,Saturday,Jan,2023,1,200.33,Not Active,Working Day
1/15/2023,Sunday,Jan,2023,1,204.08,Not Active,Working Day
1/16/2023,Monday,Jan,2023,1,220.97,Not Active,Working Day
1/17/2023,Tuesday,Jan,2023,1,229.03,Not Active,Working Day
1/18/2023,Wednesday,Jan,2023,1,270.94,Active,Working Day
1/19/2023,Thursday,Jan,2023,1,269,Not Active,Holiday
1/20/2023,Friday,Jan,2023,1,246.24,Active,Working Day
1/21/2023,Saturday,Jan,2023,1,206.43,Not Active,Working Day
1/22/2023,Sunday,Jan,2023,1,218.01,Not Active,Working Day
1/23/2023,Monday,Jan,2023,1,229.07,Not Active,Working Day
1/24/2023,Tuesday,Jan,2023,1,237.12,Not Active,Working Day
1/25/2023,Wednesday,Jan,2023,1,239.42,Not Active,Working Day
1/26/2023,Thursday,Jan,2023,1,235.6,Not Active,Working Day
1/27/2023,Friday,Jan,2023,1,209.24,Not Active,Working Day
1/28/2023,Saturday,Jan,2023,1,214.23,Not Active,Working Day
1/29/2023,Sunday,Jan,2023,1,244.88,Active,Working Day
1/30/2023,Monday,Jan,2023,1,252.32,Active,Working Day
1/31/2023,Tuesday,Jan,2023,1,231.79,Not Active,Working Day
2/1/2023,Wednesday,Feb,2023,1,251.04,Not Active,Working Day
2/2/2023,Thursday,Feb,2023,1,232.92,Not Active,Working Day
2/3/2023,Friday,Feb,2023,1,222.38,Not Active,Working Day
2/4/2023,Saturday,Feb,2023,1,197.45,Not Active,Working Day
2/5/2023,Sunday,Feb,2023,1,206.33,Not Active,Working Day
2/6/2023,Monday,Feb,2023,1,225.04,Not Active,Working Day
2/7/2023,Tuesday,Feb,2023,1,270.94,Active,Working Day
2/8/2023,Wednesday,Feb,2023,1,242.37,Not Active,Working Day
2/9/2023,Thursday,Feb,2023,1,236.96,Not Active,Working Day
